reg_number,bank,branch_name,address,city,branch_phone,url,note,history
0040,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0041,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0042,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0043,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0044,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0045,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0046,Nordea,Nordea Næstved Afdeling,"Axeltorv 2, 4700 Næstved",Næstved,+4570333333,www.nordea.dk,Næstved,
0047,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,Præstø
0048,Nordea,,,,,www.nordea.dk,,
0051,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0052,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0053,Nordea,Nordea Vordingborg Afdeling,"Prins Jørgens Alle 6B, 4760 Vordingborg",Vordingborg,+4570333333,www.nordea.dk,Vordingborg,
0056,Nordea,Nordea Stege Afdeling,"Kostervej 2B, 4780 Stege",Stege,+4570333333,www.nordea.dk,Stege,
0057,Nordea,,,,,www.nordea.dk,,
0059,Nordea,Nordea Næstved Afdeling,"Axeltorv 2, 4700 Næstved",Næstved,+4570333333,www.nordea.dk,Næstved,
0101,Nordea,Nordea Kongens Nytorv Afdeling,"Kongens Nytorv 28, 1050 København K",København K,+4570333333,www.nordea.dk,Kongens Nytorv,
0102,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0103,Nordea,Nordea Trianglen Afdeling,"Østerbrogade 78, 2100 København Ø",København Ø,+4570333333,www.nordea.dk,Trianglen,
0104,Nordea,Nordea Svanemølle Afdeling,"Østerbrogade 137, 2100 København Ø",København Ø,+4570333333,www.nordea.dk,Svanemølle,
0105,Nordea,Nordea Nørreport Afdeling,"Frederiksborggade 14-16, 1360 København K",København K,+4570333333,www.nordea.dk,Nørreport,
0106,Nordea,Nordea Amagerbro Afdeling,"Amagerbrogade 92, 2300 København S",København S,+4570333333,www.nordea.dk,Amagerbro,
0107,Nordea,Nordea Falkoner Alle Afdeling,"Falkoner Alle 53, 2000 Frederiksberg",Frederiksberg,+4570333333,www.nordea.dk,Falkoner Allé,
0108,Nordea,Nordea Nørrebro Afdeling,"Nørrebrogade 180, 2200 København N",København N,+4570333333,www.nordea.dk,Nørrebro,
0109,Nordea,Nordea Enghave Afdeling,"Enghave Plads 4, 1670 København V",København V,+4570333333,www.nordea.dk,Enghave,
0110,Nordea,Nordea Valby Afdeling,"Valby Langgade 44, 2500 Valby",Valby,+4570333333,www.nordea.dk,Valby,
0111,Nordea,Nordea Hellerup Afdeling,"Strandvejen 159, 2900 Hellerup",Hellerup,+4570333333,www.nordea.dk,Hellerup,
0113,Nordea,,,,,www.nordea.dk,,
0114,Nordea,Nordea Gentofte Afdeling,"Gentoftegade 51, 2820 Gentofte",Gentofte,+4570333333,www.nordea.dk,Gentofte,
0115,Nordea,Nordea Vanløse Afdeling,"Jernbane Alle 47, 2720 Vanløse",Vanløse,+4570333333,www.nordea.dk,Vanløse,
0116,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0117,Nordea,,,,,www.nordea.dk,,
0118,Nordea,Nordea Vanløse Afdeling,"Jernbane Alle 47, 2720 Vanløse",Vanløse,+4570333333,www.nordea.dk,Vanløse,
0119,Nordea,Nordea Nørreport Afdeling,"Frederiksborggade 14-16, 1360 København K",København K,+4570333333,www.nordea.dk,Nørreport,
0120,Nordea,Nordea Sundbyvester Afdeling,"Amagerbrogade 245, 2300 København S",København S,+4570333333,www.nordea.dk,Sundbyvester,
0121,Nordea,Nordea Nørreport Afdeling,"Frederiksborggade 14-16, 1360 København K",København K,+4570333333,www.nordea.dk,Nørreport,
0122,Nordea,Nordea Trianglen Afdeling,"Østerbrogade 78, 2100 København Ø",København Ø,+4570333333,www.nordea.dk,Trianglen,"Østerport, closed 2011"
0123,Nordea,Nordea Kastrup Afdeling,"Skottegården 2, 2770 Kastrup",Kastrup,+4570333333,www.nordea.dk,Kastrup,
0124,Nordea,Nordea Glostrup Afdeling,"Hovedvejen 112, 2600 Glostrup",Glostrup,+4570333333,www.nordea.dk,Glostrup,
0125,Nordea,Nordea Nørreport Afdeling,"Frederiksborggade 14-16, 1360 København K",København K,+4570333333,www.nordea.dk,Nørreport,
0126,Nordea,,,,,www.nordea.dk,,
0127,Nordea,,,,,www.nordea.dk,,
0128,Nordea,Nordea Sundbyvester Afdeling,"Amagerbrogade 245, 2300 København S",København S,+4570333333,www.nordea.dk,Sundbyvester,
0129,Nordea,Nordea Søborg Afdeling,"Søborg Hovedgade 112, 2860 Søborg",Søborg,+4570333333,www.nordea.dk,Søborg,
0130,Nordea,Nordea Hvidovre Afdeling,"Hvidovrevej 338B, 2650 Hvidovre",Hvidovre,+4570333333,www.nordea.dk,Hvidovre Station,
0131,Nordea,Nordea Rødovre Afdeling,"Tårnvej 151, 2610 Rødovre",Rødovre,+4570333333,www.nordea.dk,Rødovre,
0132,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0133,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0134,Nordea,Nordea Forvaltning,"Strandgade 3, Postboks 850, 0900 København C",København C,+4533336499,www.nordea.dk,Forvaltningsafdelingen,
0135,Nordea,Nordea Falkoner Alle Afdeling,"Falkoner Alle 53, 2000 Frederiksberg",Frederiksberg,+4570333333,www.nordea.dk,Falkoner Allé,
0136,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0137,Nordea,Nordea Valby Afdeling,"Valby Langgade 44, 2500 Valby",Valby,+4570333333,www.nordea.dk,Valby,
0138,Nordea,Nordea Glostrup Afdeling,"Hovedvejen 112, 2600 Glostrup",Glostrup,+4570333333,www.nordea.dk,Glostrup,
0139,Nordea,Nordea Glostrup Afdeling,"Hovedvejen 112, 2600 Glostrup",Glostrup,+4570333333,www.nordea.dk,Glostrup,
0140,Nordea,Nordea Søborg Afdeling,"Søborg Hovedgade 112, 2860 Søborg",Søborg,+4570333333,www.nordea.dk,Søborg,
0141,Nordea,Nordea Lyngby Afdeling,"Lyngby Torv 2, 2800 Kgs. Lyngby",Kgs. Lyngby,+4570333333,www.nordea.dk,Lyngby,"Bagsværd, closed 2014"
0142,Nordea,Nordea Kongens Nytorv Afdeling,"Kongens Nytorv 28, 1050 København K",København K,+4570333333,www.nordea.dk,Kongens Nytorv,
0143,Nordea,Nordea Frederiksberg Afdeling,"Smallegade 2, 2000 Frederiksberg",Frederiksberg,+4570333333,www.nordea.dk,Frederiksberg / Østerbro,
0144,Nordea,Nordea Rødovre Afdeling,"Tårnvej 151, 2610 Rødovre",Rødovre,+4570333333,www.nordea.dk,Rødovre,
0145,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0146,Nordea,Nordea Herlev Afdeling,"Herlev Torv 18, 2730 Herlev",Herlev,+4570333333,www.nordea.dk,Herlev,
0148,Nordea,Nordea Amager Afdeling,"Amagerbrogade 26, 2300 København S",København S,+4570333333,www.nordea.dk,Amager,
